timestamp,x,y
1741651702.2089078,1878,243,False
1741651702.2436836,1878,235,False
1741651702.2780387,1878,225,False
1741651702.3129094,1878,220,False
1741651702.3477228,1885,218,False
1741651702.382084,1885,218,False
1741651702.41695,1902,235,False
1741651702.4517238,1900,218,False
1741651702.4861407,1898,210,False
1741651702.521023,1892,200,False
1741651702.5558295,1887,191,False
1741651702.5901494,1884,188,False
1741651702.6250138,1879,187,False
1741651702.6597905,1868,181,False
1741651702.6951458,1851,190,False
1741651702.7299802,1465,785,False
1741651702.7647803,1415,855,False
1741651702.799129,1382,888,False
1741651702.8339806,1368,904,False
1741651702.8687844,1344,916,False
1741651702.903602,1342,903,False
1741651702.9380414,1349,892,False
1741651702.9728131,1359,888,False
1741651703.0071795,1351,883,False
1741651703.0419924,1304,895,False
1741651703.076798,1304,895,False
1741651703.1111617,1244,908,False
1741651703.145971,1201,913,False
1741651703.1807775,1184,915,False
1741651703.2151015,1020,709,False
1741651703.249994,1001,703,False
1741651703.2853222,922,718,False
1741651703.320138,853,737,False
1741651703.3549342,794,743,False
1741651703.3897848,740,767,False
1741651703.424146,715,804,False
1741651703.4589543,705,819,False
1741651703.4937956,705,822,False
1741651703.5281641,737,807,False
1741651703.5629396,1261,673,False
1741651703.5977745,1248,654,False
1741651703.6326523,1243,655,False
1741651703.6669776,1241,660,False
1741651703.701779,1222,670,False
1741651703.7362103,1200,682,False
1741651703.7709854,1173,692,False
1741651703.8058245,1168,687,False
1741651703.8401513,1141,651,False
1741651703.874952,1146,657,False
1741651703.9097593,1147,655,False
1741651703.945099,1148,657,False
1741651703.9794297,1267,1080,False
1741651704.013738,1467,706,False
1741651704.048101,1383,418,False
1741651704.08243,1403,314,False
1741651704.117287,1352,224,False
1741651704.1520665,1310,173,False
1741651704.186932,1310,173,False
1741651704.2212615,1275,151,False
1741651704.256074,1271,159,False
1741651704.2909,1280,159,False
1741651704.3252618,1501,94,False
1741651704.360034,1792,9,False
1741651704.3949714,1825,1,False
1741651704.4298153,1846,0,False
1741651704.4651256,1859,0,False
1741651704.499998,1862,0,False
1741651704.5348418,1884,0,False
1741651704.5691433,1876,0,False
1741651704.6039436,1878,0,False
1741651704.638816,1884,0,False
1741651704.673586,1881,0,False
1741651704.7079496,1886,0,False
1741651704.7427847,1876,0,False
1741651704.7771204,1874,0,False
1741651704.8114908,1873,0,False
1741651704.8458426,1879,0,False
1741651704.8801765,1882,0,False
1741651704.915047,1882,0,False
1741651704.9498231,1888,0,False
1741651704.9841564,1889,0,False
1741651705.0190253,1892,0,False
1741651705.0537987,1888,0,False
1741651705.0881617,1889,0,False
1741651705.1229672,1878,0,False
1741651705.157784,1874,0,False
1741651705.1921089,1873,0,False
1741651705.2269511,1868,0,False
1741651705.2617288,1868,0,False
1741651705.296089,1870,0,False
1741651705.3309383,1867,0,False
1741651705.3652594,1868,0,False
1741651705.4001825,1871,0,False
1741651705.435071,1874,0,False
1741651705.4694023,2020,0,False
1741651705.5037348,2017,0,False
1741651705.5381262,2020,0,False
1741651705.5729005,2024,0,False
1741651705.607263,2027,0,False
1741651705.6420999,2031,0,False
1741651705.6769042,2019,0,False
1741651705.7112598,1999,0,False
1741651705.746073,0,0,True
1741651705.7808747,0,0,True
1741651705.8157983,0,0,True
1741651705.8501887,0,0,True
1741651705.8850183,0,0,True
1741651705.9198623,0,0,True
1741651705.9551673,0,0,True
1741651705.989985,0,0,True
1741651706.0248692,0,0,True
1741651706.0591674,0,0,True
1741651706.0939677,0,0,True
1741651706.1288347,0,0,True
1741651706.163606,0,0,True
1741651706.1979685,0,0,True
1741651706.232773,0,0,True
1741651706.267099,0,0,True
1741651706.3019006,0,0,True
1741651706.3368223,0,0,True
1741651706.3711185,0,0,True
1741651706.4060695,0,0,True
1741651706.4409144,0,0,True
1741651706.4752731,0,0,True
1741651706.5101078,0,0,True
1741651706.5449786,0,0,True
1741651706.5797567,0,0,True
1741651706.61515,0,0,True
1741651706.6499298,0,0,True
1741651706.6852632,0,0,True
1741651706.7197697,0,0,True
1741651706.7550137,0,0,True
1741651706.7898235,0,0,True
1741651706.8252,0,0,True
1741651706.859985,0,0,True
1741651706.895318,0,0,True
1741651706.9301212,0,0,True
1741651706.9649234,0,0,True
1741651706.999235,0,0,True
1741651707.0341012,0,0,True
1741651707.0689054,0,0,True
1741651707.1037145,0,0,True
1741651707.138107,0,0,True
1741651707.1728818,0,0,True
1741651707.2072537,0,0,True
1741651707.242088,0,0,True
1741651707.2768927,0,0,True
1741651707.3117561,0,0,True
1741651707.34614,0,0,True
1741651707.38108,0,0,True
1741651707.4159415,0,0,True
1741651707.4507458,0,0,True
1741651707.4852686,0,0,True
1741651707.5196028,0,0,True
1741651707.5539088,0,0,True
1741651707.5882702,0,0,True
1741651707.6225917,0,0,True
1741651707.6569242,0,0,True
1741651707.691728,0,0,True
1741651707.7261102,0,0,True
1741651707.7608852,0,0,True
1741651707.7952363,0,0,True
1741651707.8301034,0,0,True
1741651707.864903,0,0,True
1741651707.8992267,0,0,True
1741651707.9340715,0,0,True
1741651707.968874,0,0,True
1741651708.0036771,0,0,True
1741651708.0380487,0,0,True
1741651708.0728228,0,0,True
1741651708.1071768,0,0,True
1741651708.142015,0,0,True
1741651708.176824,0,0,True
1741651708.2111516,0,0,True
1741651708.2460256,0,0,True
1741651708.280795,0,0,True
1741651708.315147,0,0,True
1741651708.3499892,0,0,True
1741651708.3843527,0,0,True
1741651708.41872,0,0,True
1741651708.4530194,0,0,True
1741651708.4879787,0,0,True
1741651708.5223196,0,0,True
1741651708.5571241,0,0,True
1741651708.591982,0,0,True
1741651708.626856,0,0,True
1741651708.6611552,0,0,True
1741651708.696032,0,0,True
1741651708.7308645,0,0,True
1741651708.7651868,0,0,True
1741651708.8000169,0,0,True
1741651708.8348966,0,0,True
1741651708.8692036,0,0,True
1741651708.9040356,0,0,True
1741651708.9389064,0,0,True
1741651708.9736812,0,0,True
1741651709.0080605,0,0,True
1741651709.0428727,0,0,True
1741651709.0772038,0,0,True
1741651709.112086,0,0,True
1741651709.146949,0,0,True
1741651709.1817248,0,0,True
1741651709.21611,0,0,True
1741651709.2509558,0,0,True
1741651709.285409,0,0,True
1741651709.3202956,0,0,True
1741651709.3552065,0,0,True
1741651709.3901124,0,0,True
1741651709.4249723,0,0,True
